TR10,CTU_PRMRY,PCTU_PRMRY,PCTU_WHOLE,WS_PRMRY,PWS_PRMRY,PWS_WHOLE,SD_PRMRY,PSD_PRMRY,PSD_WHOLE,TR_OPPZONE,TR_QUALIF,TR_EJ,TR_EDA,HUTOT_MC,HHTOT_MC,HHOWN_MC,HHRNT_MC,POPTOT_MC,HUTOT_ACS,HHTOT_ACS,HHOWN_ACS,HHRNT_ACS,POPTOT_ACS,P_0017,P_1834,P_3564,P_65UP,P_0017_F,P_1834_F,P_3564_F,P_65UP_F,P_0017_M,P_1834_M,P_3564_M,P_65UP_M,P_0017_BIP,P_1834_BIP,P_3564_BIP,P_65UP_BIP,P_0017_WNL,P_1834_WNL,P_3564_WNL,P_65UP_WNL,PHHSIZE1,PHHSIZE2_4,PHHSIZE5UP,AVGHHSIZE,P_USBORN,PMIG_GE10,PMIG_0009,PMIG_9099,PMIG_LT90,P_ENGLIMIT,PMV,PMV_COLLEG,PMV_INCLO,PMV_INCHI,MV_MDYR,MV_MDYR_O,MV_MDYR_R,PD_ANY,PD_HEAR,PD_VISION,PD_COGNIT,PD_WALK,PD_CARESELF,PD_INDLIV,PWHITENH,PBLACKNH,PASIANNH,PHISPPOP,PAMINDNH,POTHMULTNH,PBIPOC,PLURALRACE,PPLURALRAC,PBANC_TOTL,PBANC_AFRI,PBANC_ETHI,PBANC_KENY,PBANC_LIBE,PBANC_NIGE,PBANC_SOMA,PBANC_AOTH,PBANC_WIND,PBANC_AFAM,PBANC_OTHR,PARAC_TOTL,PARAC_AIND,PARAC_BURM,PARAC_CAMB,PARAC_CHIN,PARAC_FILI,PARAC_HMON,PARAC_JAPA,PARAC_KORE,PARAC_LAOT,PARAC_THAI,PARAC_VIET,PARAC_OTHR,PLAT_TOTL,PLAT_CUBA,PLAT_ECUA,PLAT_MEXI,PLAT_PUER,PLAT_SALV,PLAT_OTHR,PIND_TOTL,PIND_CHER,PIND_DAKO,PIND_MXAM,PIND_OJIB,PIND_OTHR,PMENA_ARAB,PMENA_ARME,PMENA_EGYP,PMENA_IRAN,PMENA_ISRA,PMENA_LEBA,PMENA_PALE,PMENA_TURK,PWANC_TOTL,PWANC_ENGL,PWANC_FREN,PWANC_GERM,PWANC_IRIS,PWANC_ITAL,PWANC_NORW,PWANC_POLI,PWANC_SWED,PWANC_OTHR,POVDENOM,POV185,PPOV185,PSTUDENT,PPOV_STUDENT,CONCPOV,ACP,ACP_NYRS,POV500,PPOV500,PPOV500RGN,PPOV500RAT,MD_EMV_RAT,ACA,ACA_NYRS,MDHHINC14,MDHHINCNOW,PHHI_QNTL1,PHHI_QNTL2,PHHI_QNTL3,PHHI_QNTL4,PHHI_QNTL5,EDUC_DENOM,PED_NOHS,PED_HISCH,PED_ASSOC,PED_BACHLR,WORK_DENOM,PWK_FTYR,PWK_PT_NYR,PWK_NOWORK,MDERN_FTYR,HOLC_PGRN,HOLC_PBLU,HOLC_PYLW,HOLC_PRED,HOLC_PNR,RRCOV_NUM,RRCOV_PCT,POWNHOME,PCOSTBURD,PCOSTBURDR,PCOSTBURDO,PCB_LE30,PCB_3150,PCB_5180,PCB_GT80,PCB_WHTNL,PCB_BLKNL,PCB_ASNNL,PCB_LATINO,PCB_INDNL,PCB_OMNL,GRSRENT14,GRSRENTNOW,MD_EMV_2014,MD_EMV_NOW,AFF14_LE30,AFF14_3150,AFF14_5160,AFF14_LE60,AFF14_6180,AFF14_GT80,AFFNW_LE30,AFFNW_3150,AFFNW_5160,AFFNW_LE60,AFFNW_6180,AFFNW_GT80,PBLT_GE10,PBLT_9009,PBLT_7089,PBLT_5069,PBLT_LT50,PBLT_UNK,PRNTLS_0BR,PRNTLS_1BR,PRNTLS_2BR,PRNTLS_3BR,PRNTLS_4BR,PRNTLS_5BR,PRNTLS_UBR,NAPTS_AVG,PAPTS_RENO,POWN_REMOD,MD_OWNDIST,POZIP_SAME,POZIP_RGN,POZIP_MN,POZIP_US,POZIP_UNK,N_EVICTED,P_EVICTED,PHH_NOVEH,PHFTRANSIT,COMM_TOTAL,PCOMM_LT5,PCOMM_59,PCOMM_1019,PCOMM_GE20,COMMLENGTH,PCOMM60MIN,PCOMMDRIVE,PCOMMTRANS,PCOMMOTHER,JOB_TOTAL,PJOB_LT5,PJOB_59,PJOB_1019,PJOB_GE20,PJOB_LE15K,PJOB_1539K,PJOB_GT40K,PJOB_WHITE,PJOB_BLACK,PJOB_ASIAN,PJOB_INDIG,PJOB_OMULT,PJOB_LATNO,PJOB_LTHS,PJOB_HS,PJOB_ASSOC,PJOB_COLL,RP_NEW,RP_CONV,RP_OTHADD,RP_DEMO,RP_OTHLOSS,RP_NETCHG,NRP_COMM,NRP_IND,NRP_PI,NRP_TOTAL,MDLANDV10,MDLANDV15,MDLANDV20,MI_TO_HOSP,MI_TO_LIBR,MI_TO_NURS,MI_TO_PHAR,MI_TO_POST,MI_TO_WORK,N_DAYCARE,LUSE_AGRIC,LUSE_COMM,LUSE_GREEN,LUSE_INDUS,LUSE_RESMF,LUSE_RESSF,LUSE_UNDEV,LUSE_WATER,LUSE_OTHER,AVG_TEMP,PRIM_FLOOD,SOLAR_PROD,GREEN_ROOF,GHG_RES_PC,GHG_COM_PE,GHG_P_CWTR,GHG_P_RWTR,GHG_P_CNRG,GHG_P_RNRG,GHG_P_RVEH,ENV_CANCER,ENV_DSLPM,ENV_PM25,ENV_OZONE,ENV_PTRAF,ENV_PRMP,ENV_PTSDF,ENV_PNPL
27003050107,St. Francis,1,0,Upper Rum River WMO,1,0,St. Francis,1,0,0,0,0,0,1083,1045,961,84,3034,1030,1006,928,78,2900,0.3,0.203,0.406,0.092,0.124,0.108,0.212,0.05,0.175,0.096,0.193,0.041,0.019,0.014,0.007,0,0.28,0.189,0.399,0.092,0.251,0.627,0.121,2.88,1,0,0,0,0,0,0.062,0.015,0.845,0.004,2007,2007,2011,0.101,0.023,0.004,0.047,0.049,0.016,0.022,0.96,0,0,0,0,0.04,0.04,"White, non-Latinx",0.96,0.003,0,0,0,0,0,0,0,0,0.002,0.001,0.015,0,0,0,0,0,0,0,0.012,0,0,0.003,0,0,0,0,0,0,0,0,0.017,0,0.017,0,0,0,0,0,0,0,0,0.03,0,0,0.96,0.053,0.027,0.398,0.213,0.025,0.132,0.064,0.072,0.307,2835,654,0.231,0.046,0.08,0,0,0,581,0.205,0.402,0.509,0.787,0,0,76608,81250,0.208,0.13,0.374,0.211,0.078,1752,0.102,0.631,0.168,0.099,1858,0.587,0.276,0.138,54639,,,,,,,,0.922,0.296,0.361,0.291,0.846,0.648,0.256,0.075,0.249,,,,,0,1120,1400,173868,216400,0.2454,0.1395,0.3172,0.7021,0.1749,0.123,0.2495,0.0608,0.0923,0.4026,0.3752,0.2222,0.03,0.725,0.167,0.018,0.026,0.033,0,0.103,0.181,0.293,0.129,0.034,0.259,,,0.001,,0.06,0.75,0.147,0.043,0,23,0.04,0.009,0,1613,0.087,0.042,0.354,0.517,37.12,0.1,0.987,0,0.013,682,0.307,0.235,0.286,0.171,0.474,0.251,0.276,0.962,0.003,0.01,0.003,0.022,0.013,0.075,0.273,0.31,0.341,33,0,0,0,0,33,3.2,0.126,0,3.326,5322,3982,4747,14.7,1.6,10.35,0.93,1.39,14.72,4,0.166,0.003,0.031,0.011,0.01,0.088,0.662,0.02,0.007,82.568,0.064,9084.1,257.24,6.81,8.8,0.002,0.004,0.362,0.345,0.288,22.12,0.192,6.907,38.939,59.594,0.101,0.124,0.049
27003050108,St. Francis,0.90697,0,Upper Rum River WMO,1,0,St. Francis,1,0,0,0,0,0,1978,1920,1613,307,5525,1808,1721,1446,275,5252,0.285,0.248,0.385,0.083,0.127,0.128,0.193,0.043,0.158,0.119,0.191,0.039,0.056,0.033,0.039,0.001,0.229,0.215,0.345,0.081,0.155,0.69,0.156,3.05,0.945,0.007,0.033,0.01,0.005,0.018,0.12,0.023,0.817,0.002,2011,2010,2013,0.11,0.028,0.01,0.058,0.048,0.032,0.047,0.871,0.021,0.005,0.06,0.001,0.042,0.129,"White, non-Latinx",0.871,0.028,0.011,0,0,0.011,0,0,0,0,0.015,0.004,0.019,0.001,0,0,0,0.012,0.001,0.004,0,0,0.001,0,0,0.06,0,0,0.053,0,0.006,0.002,0.022,0,0.005,0,0.001,0.016,0,0,0,0,0,0,0,0,0.871,0.069,0.02,0.342,0.104,0.014,0.154,0.046,0.112,0.299,5201,837,0.161,0.069,0,0,0,0,1533,0.295,0.402,0.733,0.773,0,0,68006,86612,0.158,0.119,0.339,0.244,0.139,3286,0.077,0.593,0.137,0.193,3395,0.614,0.26,0.126,52670,,,,,,,,0.84,0.204,0.286,0.188,0.865,0.725,0.436,0.03,0.293,,1,0,0,0,960,1041,169548,212700,0.0542,0.355,0.2944,0.7036,0.2092,0.0872,0.0485,0.1305,0.2235,0.4024,0.3775,0.2201,0.127,0.574,0.217,0.025,0.048,0.008,0,0.079,0.386,0.285,0.056,0.02,0.175,18,0,0.001,,0.101,0.639,0.149,0.039,0.068,57,0.027,0.013,0,2662,0.07,0.049,0.355,0.526,32.92,0.088,0.972,0.011,0.017,816,0.315,0.207,0.283,0.195,0.306,0.304,0.39,0.968,0.009,0.009,0.004,0.011,0.006,0.072,0.304,0.373,0.251,251,0,0,6,2,243,0.871,0,43.906,44.777,6314,4305,5739,14.75,1.23,12.57,1.81,1.48,13.52,4,0.14,0.007,0.124,0.013,0.003,0.173,0.478,0.017,0.045,84.987,0.099,29896.9,650.17,7.63,7.14,0.001,0.004,0.201,0.399,0.395,22.445,0.21,6.914,38.771,56.975,0.078,0.081,0.051
27003050109,East Bethel,1,1,Upper Rum River WMO,0.871,0,St. Francis,1,0,0,0,0,0,2000,1967,1866,101,5720,1921,1878,1741,137,5481,0.222,0.217,0.449,0.112,0.121,0.107,0.209,0.056,0.101,0.109,0.24,0.057,0.024,0.011,0.032,0.002,0.198,0.205,0.417,0.11,0.124,0.79,0.086,2.91,0.982,0,0.004,0,0.014,0.01,0.054,0.008,0.841,0.004,2005,2004,2013,0.096,0.035,0.004,0.039,0.032,0.012,0.041,0.93,0.004,0.014,0.02,0.014,0.018,0.07,"White, non-Latinx",0.93,0.012,0,0,0,0,0,0,0,0,0.01,0.003,0.025,0,0,0,0.008,0,0,0.003,0.009,0,0,0,0.005,0.02,0,0,0.02,0,0,0,0.016,0,0.004,0,0.003,0.008,0,0,0,0,0,0,0,0,0.93,0.032,0.064,0.332,0.09,0.042,0.194,0.064,0.124,0.304,5443,641,0.118,0.063,0,0,0,0,2181,0.401,0.402,0.996,0.917,0,0,97663,94318,0.081,0.188,0.253,0.291,0.186,3766,0.037,0.651,0.106,0.206,3804,0.625,0.275,0.1,51225,,,,,,,,0.927,0.148,0.226,0.142,0.667,0.571,0.279,0.045,0.152,,0,0.286,0,0,,1536,195898,252250,0.0571,0.1357,0.2829,0.4757,0.3129,0.2114,0.0795,0.0299,0.0877,0.1971,0.3486,0.4543,0.06,0.453,0.381,0.071,0.014,0.02,0,0.007,0.291,0.318,0.139,0.013,0.232,,,0.004,,0.146,0.523,0.252,0.066,0,39,0.064,0.026,0,2926,0.04,0.067,0.347,0.547,34.44,0.16,0.978,0.01,0.012,454,0.219,0.17,0.32,0.291,0.258,0.273,0.469,0.976,0.007,0.004,0.002,0.011,0.053,0.098,0.369,0.375,0.157,121,0,0,10,0,111,1.322,0.225,0,1.547,7130,6545,6738,11.48,6.46,11.66,7.25,1.82,13.28,3,0.108,0.006,0.226,0.004,0.002,0.153,0.421,0.066,0.012,84.109,0.119,15534.4,256.25,9.21,6.45,0.001,0.004,0.077,0.404,0.514,23.027,0.257,6.941,38.636,76.926,0.052,0.051,0.051
27003050110,East Bethel,1,1,Upper Rum River WMO,1,0,St. Francis,1,0,0,0,0,0,996,976,892,84,2713,1022,991,932,59,2670,0.162,0.233,0.494,0.11,0.074,0.1,0.232,0.049,0.088,0.134,0.262,0.061,0.015,0.012,0.013,0.005,0.147,0.221,0.482,0.105,0.141,0.765,0.094,2.69,0.985,0,0,0.006,0.009,0.011,0.09,0.019,0.828,0.005,2003,2002,2014,0.115,0.045,0.012,0.045,0.03,0.012,0.039,0.955,0,0.015,0.007,0.007,0.016,0.045,"White, non-Latinx",0.955,0.01,0,0,0,0,0,0,0,0,0.009,0.003,0.015,0,0,0.006,0,0,0,0,0,0.011,0,0,0,0.007,0,0,0.002,0.001,0,0.004,0.017,0,0,0,0.01,0.007,0,0,0,0,0,0.002,0,0,0.955,0.052,0.047,0.343,0.069,0.035,0.18,0.062,0.108,0.36,2670,331,0.124,0.069,0,0,0,0,1208,0.452,0.402,1.125,0.971,0,0,95318,93456,0.115,0.184,0.226,0.272,0.203,1898,0.079,0.577,0.122,0.222,1980,0.606,0.29,0.104,55043,,,,,,,,0.94,0.137,0,0.145,0.587,0.551,0.161,0.031,0.147,,0,,1,0,1361,1350,206157,267050,0.1107,0.1397,0.2211,0.4714,0.2702,0.2583,0.1053,0.0375,0.0661,0.2088,0.2527,0.5385,0.175,0.415,0.347,0.045,0.011,0.008,0,0.092,0.213,0.112,0.028,0,0.554,99,0,0.003,,0.052,0.104,0.831,0.012,0,16,0.045,0.021,0,1473,0.075,0.089,0.377,0.46,31.4,0.1,0.994,0.003,0.003,546,0.268,0.238,0.317,0.177,0.179,0.379,0.441,0.98,0.013,0.004,0.002,0.002,0.009,0.085,0.327,0.346,0.242,174,0,0,8,1,165,1.135,5.078,0.192,6.404,6858,5758,6766,11.5,2.37,10,6.04,2.47,13.15,4,0.146,0.018,0.013,0.018,0.004,0.202,0.504,0.013,0.082,85.568,0.087,28379.8,380.59,9.72,8.3,0.001,0.004,0.159,0.359,0.476,24.155,0.296,7.105,38.983,106.746,0.061,0.068,0.077
27003050111,East Bethel,1,1,Sunrise River WMO,1,0,St. Francis,0.591,0,0,0,0,0,1452,1353,1277,76,3751,1459,1416,1332,84,3719,0.227,0.21,0.439,0.123,0.133,0.086,0.196,0.063,0.095,0.124,0.243,0.061,0.013,0.014,0.023,0.002,0.215,0.196,0.417,0.121,0.195,0.724,0.081,2.62,0.976,0.008,0.004,0,0.012,0.002,0.089,0.008,0.867,0.033,2006,2005,2016,0.09,0.042,0.007,0.044,0.045,0.028,0.034,0.948,0.009,0.015,0.006,0.003,0.019,0.052,"White, non-Latinx",0.948,0.012,0.008,0,0.008,0,0,0,0,0,0.003,0.001,0.024,0.005,0,0,0,0.004,0,0,0.013,0,0,0.002,0,0.006,0,0,0.004,0,0,0.003,0.008,0,0,0,0.003,0.005,0,0,0,0,0.002,0,0,0,0.948,0.038,0.022,0.315,0.108,0.034,0.153,0.065,0.096,0.397,3690,336,0.091,0.048,0.041,0,0,0,1622,0.44,0.402,1.093,0.947,0,0,89094,90333,0.089,0.148,0.302,0.231,0.23,2581,0.03,0.508,0.165,0.297,2471,0.611,0.249,0.14,62294,,,,,,,,0.941,0.099,0,0.104,0.8,0.43,0.345,0.078,0.184,,,,0,0,1278,1105,204376,260300,0.0456,0.1683,0.2072,0.4211,0.2772,0.3017,0.0359,0.0599,0.0914,0.1871,0.2851,0.5278,0.028,0.408,0.316,0.168,0.064,0.015,0,0.169,0.291,0.318,0.088,0,0.135,,,0.005,,0.318,0.439,0.149,0.095,0,25,0.05,0,0,1963,0.048,0.111,0.359,0.482,37.3,0.135,0.974,0.014,0.011,235,0.267,0.184,0.359,0.189,0.264,0.426,0.311,0.932,0.017,0.03,0,0.021,0.03,0.105,0.37,0.298,0.227,41,0,0,13,0,28,0,0,0,0,14388,11240,7080,8.28,3.72,8.46,8.21,4.01,10.57,0,0.081,0.002,0.019,0,0,0.207,0.537,0.152,0.001,84.064,0.132,569,29.29,10.12,5.72,0,0.004,0.031,0.395,0.569,23.48,0.211,7.078,38.848,8.567,0.055,0.058,0.062
27003050114,Oak Grove,1,1,Upper Rum River WMO,1,0,St. Francis,0.943,0,0,0,0,0,1093,1035,977,58,3021,1048,1028,973,55,3105,0.218,0.207,0.436,0.139,0.112,0.093,0.222,0.064,0.106,0.114,0.214,0.075,0.011,0.003,0.014,0.003,0.207,0.204,0.422,0.136,0.125,0.736,0.138,3.02,0.972,0.002,0.011,0.004,0.013,0.006,0.138,0.053,0.896,0.029,2001,2001,2011,0.091,0.04,0.009,0.036,0.036,0.013,0.031,0.968,0,0.018,0,0,0.014,0.032,"White, non-Latinx",0.968,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0.009,0.006,0.007,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0.005,0,0,0,0.002,0.003,0,0,0,0,0,0,0,0,0.968,0.045,0.043,0.341,0.148,0.031,0.138,0.077,0.096,0.358,3099,140,0.045,0.043,0,0,0,0,1852,0.598,0.402,1.486,1.097,0,0,85771,116667,0.082,0.126,0.228,0.258,0.306,2160,0.057,0.517,0.135,0.292,2072,0.598,0.264,0.138,59929,,,,,,,,0.946,0.166,0.364,0.155,0.95,0.343,0.367,0.055,0.132,1,0.4,0,,0,1226,1270,252108,301700,0.0064,0.0343,0.0977,0.1384,0.3409,0.5207,0.011,0.0106,0.0324,0.0539,0.176,0.7701,0.103,0.45,0.301,0.07,0.022,0.053,0,0.193,0.169,0.163,0.066,0.012,0.398,,,0.003,,0.627,0.289,0.054,0.03,0,11,0.024,0,0,1601,0.056,0.12,0.336,0.488,33.13,0.118,0.95,0.021,0.028,148,0.333,0.089,0.252,0.326,0.311,0.284,0.405,0.932,0.041,0.02,0,0.007,0.034,0.216,0.328,0.31,0.147,113,0,0,3,0,110,0,0,0,0,7055,5602,6994,11.15,3.07,9.66,3.21,2.98,15.87,2,0.152,0.002,0.046,0,0,0.254,0.53,0.012,0.004,84.021,0.08,1363.5,70.19,9.21,8.58,0.001,0.005,0.116,0.39,0.489,23.344,0.204,7.079,39.107,24.978,0.11,0.094,0.07
27003050115,Oak Grove,1,1,Upper Rum River WMO,1,0,St. Francis,1,0,0,0,0,0,2074,2007,1928,79,5847,1980,1959,1949,10,5577,0.248,0.168,0.464,0.119,0.125,0.105,0.221,0.055,0.123,0.063,0.243,0.064,0.053,0.028,0.042,0.009,0.195,0.14,0.422,0.111,0.148,0.736,0.116,2.84,0.953,0.006,0.006,0.004,0.031,0.008,0.082,0.003,0.862,0.017,2004,2004,,0.069,0.028,0.005,0.018,0.031,0.013,0.025,0.869,0.012,0.068,0.023,0,0.028,0.131,"White, non-Latinx",0.869,0.017,0.012,0,0,0,0,0,0.012,0,0.004,0.001,0.086,0,0,0,0,0.002,0.063,0,0.013,0,0,0.005,0.004,0.023,0,0,0.021,0.002,0,0,0.009,0,0.003,0,0.005,0.002,0,0,0,0,0,0,0,0,0.869,0.044,0.027,0.304,0.098,0.039,0.16,0.045,0.092,0.332,5567,379,0.068,0.053,0,0,0,0,2396,0.43,0.402,1.07,1,0,0,98056,103869,0.068,0.151,0.258,0.339,0.184,3797,0.041,0.495,0.179,0.285,3657,0.652,0.241,0.107,61634,,,,,,,,0.995,0.183,1,0.179,0.778,0.25,0.431,0.062,0.134,1,0,0.182,,0,1592,,231104,275000,0.0033,0.0535,0.1175,0.1743,0.3948,0.431,0.001,0.02,0.0403,0.0613,0.2699,0.6689,0.11,0.35,0.427,0.052,0.033,0.028,0,0.031,0.176,0.321,0.069,0.025,0.377,,,0.002,,0.289,0.597,0.063,0.038,0,27,0.045,0.017,0,2920,0.066,0.115,0.344,0.474,36.31,0.163,0.969,0.009,0.022,643,0.245,0.198,0.264,0.292,0.337,0.302,0.361,0.933,0.017,0.019,0.011,0.02,0.04,0.108,0.344,0.341,0.207,228,0,0,6,0,222,0.738,0,0.889,1.627,7850,5368,5816,11.66,3.56,11.02,4.13,3.68,15.18,0,0.136,0.005,0.069,0.01,0,0.211,0.493,0.042,0.035,84.378,0.084,19382.4,237.77,9.34,7,0.001,0.004,0.082,0.391,0.522,23.265,0.226,7.061,39.006,11.399,0.077,0.076,0.072
27003050116,Nowthen,1,1,Upper Rum River WMO,1,0,Elk River,0.356,0,0,0,0,0,1578,1529,1464,65,4771,1467,1442,1289,153,4682,0.259,0.189,0.445,0.108,0.118,0.072,0.217,0.056,0.141,0.117,0.228,0.052,0.036,0.04,0.025,0.007,0.223,0.149,0.42,0.101,0.1,0.736,0.164,3.22,0.952,0.001,0.034,0,0.013,0.036,0.12,0.03,0.897,0.022,2005,2004,2015,0.078,0.019,0.011,0.024,0.015,0.011,0.038,0.893,0.007,0.02,0.033,0.038,0.009,0.107,"White, non-Latinx",0.893,0.014,0.003,0,0,0,0.003,0,0,0,0.01,0.003,0.022,0,0,0,0.002,0,0.018,0.002,0,0,0,0,0,0.033,0,0,0.021,0.011,0,0.002,0.039,0,0,0,0.028,0.011,0,0,0,0,0,0,0,0,0.893,0.047,0.026,0.26,0.084,0.03,0.177,0.037,0.115,0.378,4607,454,0.099,0.055,0.034,0,0,0,2250,0.488,0.402,1.214,1.221,0,0,87328,107688,0.141,0.054,0.26,0.228,0.317,3017,0.038,0.557,0.111,0.294,3086,0.608,0.264,0.128,63145,,,,,,,,0.894,0.181,0.421,0.161,1,0.722,0.261,0.085,0.223,,0,,0.667,0,1310,1607,278512,335700,0.0079,0.0402,0.1009,0.1491,0.1953,0.6557,0.0114,0.0063,0.026,0.0437,0.1248,0.8314,0.064,0.474,0.288,0.059,0.056,0.06,0,0.013,0.088,0.188,0.1,0.038,0.575,,,0.004,,0.475,0.238,0.181,0.075,0,15,0.037,0.012,0,2246,0.075,0.176,0.263,0.485,35.8,0.179,0.994,0,0.006,669,0.205,0.205,0.29,0.301,0.236,0.305,0.459,0.93,0.037,0.007,0.006,0.019,0.021,0.096,0.315,0.384,0.205,99,0,2,2,0,99,2.768,0.413,1.125,4.306,6817,5934,6577,11.2,5.72,5.79,5.37,5.5,16.99,0,0.333,0.002,0.008,0.002,0.001,0.147,0.449,0.052,0.005,83.322,0.112,11033.8,313.8,8.51,4.42,0.001,0.005,0.057,0.436,0.501,23.084,0.217,7.064,39.197,5.352,0.32,0.167,0.062
27003050208,Andover,1,0,Coon Creek WD,0.776,0,Anoka-Hennepin,1,0,0,0,0,0,1128,1117,1015,102,3346,1176,1176,1006,170,3303,0.231,0.201,0.457,0.111,0.124,0.1,0.228,0.048,0.107,0.101,0.229,0.063,0.081,0.06,0.09,0.008,0.151,0.141,0.368,0.102,0.151,0.758,0.091,2.8,0.95,0.002,0.006,0.024,0.017,0.011,0.19,0.055,0.915,0.019,2006,2002,2016,0.072,0.037,0.011,0.022,0.026,0.01,0.034,0.761,0.137,0.033,0.046,0.003,0.021,0.239,"White, non-Latinx",0.761,0.157,0.066,0,0.003,0.051,0,0,0.012,0,0.083,0.024,0.036,0,0,0,0.006,0,0.024,0,0.004,0.002,0,0,0,0.046,0,0.024,0.006,0,0,0.016,0.005,0,0,0,0.002,0.003,0,0,0,0,0,0,0,0,0.761,0.035,0.024,0.308,0.118,0.024,0.126,0.047,0.071,0.262,3303,255,0.077,0.104,0.107,0,0,0,1754,0.531,0.402,1.32,0.916,0,0,87844,115119,0.045,0.121,0.243,0.36,0.231,2246,0.046,0.472,0.085,0.397,2317,0.593,0.282,0.124,64024,,,,,,,,0.855,0.129,0,0.151,1,0.5,0.4,0.037,0.126,0,0,0.4,0,0.333,1111,1725,204862,252000,0.0541,0.0388,0.2517,0.3446,0.4829,0.1725,0,0.0027,0.0949,0.0977,0.4429,0.4594,0.011,0.397,0.473,0.115,0.004,0.001,0,0.021,0.32,0.268,0.278,0.062,0.052,,,0,,0.299,0.474,0.103,0.124,0,15,0.021,0,0,1824,0.212,0.164,0.424,0.201,24.68,0.034,0.987,0.013,0,1565,0.368,0.224,0.217,0.191,0.322,0.319,0.358,0.943,0.009,0.025,0.007,0.016,0.022,0.078,0.276,0.368,0.279,12,0,0,2,0,10,4.445,0,8.815,13.26,165689,127176,154091,2.85,2.53,2.59,0.71,2.38,7.31,18,0,0.068,0.406,0.023,0.002,0.338,0.045,0.052,0.067,92.626,0.107,37544.6,643.49,7.76,3.61,0,0.005,0.042,0.491,0.461,28.881,0.385,7.476,39.335,112.148,0.167,1.821,1.278
27003050210,Columbus,1,1,Rice Creek WD,0.538,0,Forest Lake,1,0,0,0,0,0,1526,1479,1403,76,4067,1556,1524,1426,98,4055,0.201,0.168,0.477,0.154,0.099,0.072,0.248,0.079,0.102,0.096,0.229,0.074,0.05,0.04,0.035,0.005,0.151,0.128,0.443,0.148,0.203,0.722,0.075,2.66,0.961,0.005,0.016,0,0.018,0.021,0.081,0.014,0.795,0.014,2000,1999,2015,0.105,0.04,0.009,0.042,0.048,0.015,0.046,0.87,0,0.058,0.021,0.032,0.019,0.13,"White, non-Latinx",0.87,0.011,0,0,0,0,0,0,0,0,0.01,0.003,0.063,0,0,0,0,0.001,0.054,0,0.003,0,0,0.005,0,0.021,0,0,0,0.016,0,0.005,0.046,0,0.008,0,0.026,0.011,0,0,0,0,0,0,0,0,0.87,0.049,0.05,0.335,0.128,0.021,0.126,0.051,0.109,0.294,4039,427,0.106,0.042,0.066,0,0,0,1822,0.451,0.402,1.121,1.158,0,0,85874,89773,0.084,0.151,0.318,0.27,0.178,2977,0.033,0.553,0.149,0.265,2712,0.593,0.282,0.126,57652,,,,,,,,0.936,0.159,0.141,0.16,0.926,0.174,0.326,0.083,0.209,,0,,0,,1193,888,240823,318300,0,0.0291,0.1373,0.1664,0.3945,0.4391,0.0151,0.0131,0.0262,0.0544,0.1225,0.8231,0.063,0.231,0.446,0.154,0.048,0.058,0,0,0.163,0.198,0.105,0.029,0.506,,,0.002,,0.541,0.32,0.076,0.064,0,10,0.019,0.022,0,2130,0.111,0.125,0.31,0.454,31.4,0.079,0.987,0,0.013,1558,0.115,0.182,0.356,0.347,0.158,0.264,0.578,0.888,0.018,0.067,0.012,0.015,0.033,0.1,0.314,0.383,0.204,96,0,0,11,0,85,24.578,16.713,0.249,41.539,12351,10608,12368,4.67,4.56,4.21,2.83,3.99,4.54,1,0.068,0.008,0.382,0.006,0,0.089,0.373,0.064,0.01,83.088,0.114,74759.5,981.14,9.59,8.05,0.001,0.004,0.191,0.354,0.45,23.867,0.234,7.175,38.87,21.666,0.052,0.068,0.049
